type,time,file_count,usb_flag,login_hour
file_access,1712200000,33,0,2
file_access,1712200023,3,0,16
login,1712200136,3,0,14
file_access,1712200120,3,0,13
login,1712200364,1,0,12
login,1712200320,1,0,10
login,1712200330,7,0,15
file_access,1712200777,3,0,11
login,1712200648,5,0,13
file_access,1712201026,6,0,14
file_access,1712200510,5,0,13
file_access,1712201089,21,1,22
file_access,1712201296,1,0,17
login,1712200728,4,0,11
login,1712201372,4,0,8
file_access,1712201245,6,0,16
file_access,1712201856,1,0,11
file_access,1712200442,8,0,13
login,1712202052,7,0,14
file_access,1712201330,5,0,11
file_access,1712201940,6,0,9
login,1712200672,2,0,18
file_access,1712202002,4,0,17
login,1712201725,2,0,8
login,1712201608,4,0,15
file_access,1712202000,3,0,14
file_access,1712202054,7,0,16
login,1712200810,3,0,16
file_access,1712203304,15,0,3
login,1712202059,4,0,13
file_access,1712203570,6,0,15
login,1712203224,2,0,11
file_access,1712201280,23,0,3
login,1712202475,1,0,10
login,1712201496,3,0,8
file_access,1712203395,36,1,3
login,1712201728,8,0,13
file_access,1712203700,1,0,8
login,1712202204,39,0,0
file_access,1712204173,6,0,16
file_access,1712203400,4,0,8
file_access,1712201353,8,0,10
login,1712202394,5,0,18
login,1712201419,7,0,10
login,1712201936,26,0,2
login,1712204635,5,0,9
file_access,1712203772,6,0,17
login,1712202162,7,0,13
login,1712204032,8,0,18
login,1712202940,3,0,10
login,1712202950,1,0,17
login,1712201173,33,0,22
file_access,1712202496,1,0,15
file_access,1712204293,24,0,22
login,1712203834,5,0,16
login,1712204180,18,0,0
login,1712202968,3,0,12
login,1712206270,7,0,10
file_access,1712201914,4,0,14
file_access,1712203068,20,1,23
login,1712204740,3,0,16
file_access,1712205185,3,0,12
login,1712201364,8,0,9
file_access,1712205355,4,0,11
file_access,1712203456,28,0,2
file_access,1712204225,2,0,8
login,1712206270,8,0,9
file_access,1712205159,7,0,14
login,1712207616,3,0,18
login,1712204968,8,0,14
file_access,1712204830,8,0,16
login,1712207952,31,1,0
login,1712206912,17,1,3
login,1712203139,38,1,2
file_access,1712204070,7,0,8
file_access,1712205850,1,0,10
login,1712203268,2,0,8
login,1712203542,4,0,10
login,1712205772,2,0,9
file_access,1712204740,1,0,14
login,1712202000,1,0,8
file_access,1712209072,1,0,16
file_access,1712205658,5,0,17
login,1712203735,2,0,8
login,1712205712,3,0,8
login,1712201955,2,0,18
login,1712201720,1,0,16
file_access,1712204872,3,0,14
file_access,1712210120,2,0,18
login,1712205251,6,0,9
file_access,1712209990,15,0,0
file_access,1712208918,8,0,14
login,1712202668,7,0,12
login,1712209393,1,0,17
file_access,1712207896,8,0,18
file_access,1712203800,7,0,10
file_access,1712204416,34,1,3
file_access,1712204171,3,0,18
login,1712205880,7,0,18
login,1712208316,5,0,8
file_access,1712204900,6,0,14
login,1712207070,7,0,13
file_access,1712211220,4,0,17
login,1712211536,8,0,15
file_access,1712202496,39,1,0
login,1712210290,27,1,22
login,1712211872,1,0,17
login,1712208132,7,0,15
login,1712206372,3,0,14
file_access,1712209919,6,0,12
file_access,1712202970,8,0,8
login,1712208103,1,0,17
login,1712202576,6,0,12
file_access,1712204746,6,0,17
login,1712203420,7,0,10
login,1712210925,8,0,9
login,1712210556,17,1,23
login,1712210647,39,0,0
login,1712210974,15,0,22
login,1712204641,1,0,15
login,1712213440,1,0,8
file_access,1712205566,5,0,15
login,1712202562,6,0,11
login,1712210824,4,0,17
file_access,1712209300,1,0,18
file_access,1712210375,6,0,16
file_access,1712215120,8,0,14
login,1712203175,6,0,16
login,1712203200,25,0,1
login,1712207353,21,1,0
file_access,1712205460,23,0,22
file_access,1712212707,3,0,12
file_access,1712207656,32,0,0
file_access,1712210241,8,0,18
file_access,1712203618,16,1,3
file_access,1712203510,2,0,14
file_access,1712205440,3,0,18
file_access,1712214796,8,0,13
login,1712214076,3,0,13
login,1712212232,5,0,17
login,1712211480,1,0,10
file_access,1712205217,5,0,15
login,1712211360,7,0,17
file_access,1712213585,2,0,13
file_access,1712210800,35,0,3
file_access,1712205800,3,0,15
file_access,1712213286,1,0,10
login,1712207350,8,0,16
file_access,1712211100,7,0,8
file_access,1712214453,1,0,14
login,1712216050,4,0,11
file_access,1712212986,4,0,11
login,1712210336,6,0,17
login,1712204743,1,0,12
file_access,1712214630,6,0,8
login,1712203410,2,0,14
file_access,1712203900,1,0,8
login,1712215857,4,0,13
file_access,1712205056,8,0,16
file_access,1712208904,15,1,0
login,1712207360,1,0,16
login,1712218515,7,0,9
login,1712218468,4,0,18
login,1712214996,6,0,18
file_access,1712211316,7,0,8
file_access,1712208415,6,0,13
file_access,1712210292,2,0,11
file_access,1712216867,21,1,23
login,1712212432,24,1,22
file_access,1712217238,16,0,0
login,1712210200,20,1,2
login,1712215390,33,0,23
file_access,1712217716,8,0,18
login,1712218338,3,0,10
file_access,1712216008,3,0,16
login,1712216450,35,1,2
login,1712215312,5,0,18
login,1712205664,21,1,2
login,1712213528,2,0,14
file_access,1712209666,5,0,18
file_access,1712220340,3,0,9
login,1712208145,6,0,14
login,1712211284,2,0,16
login,1712203660,7,0,10
file_access,1712219504,39,1,3
file_access,1712205920,4,0,14
